Question,Option A,Option B,Option C,Option D,Correct
"机器学习就是电脑做什么?",看很多例子学规律,自动赚钱,自动洗碗,自动玩游戏,A
"AI 学习需要什么「食物」?",电池,数据 (照片/例子),汽油,面包,B
"如果给 AI 看的例子太少, 会怎么样?",AI 一定猜对,容易猜错,AI 会变成大人,AI 会很开心,B
"AI 怎么知道这是猫?",听喵喵叫,看特征 (尖耳朵/胡须/尾巴),问别人,自己长大就会,B
"如果 AI 只学过白色的兔子, 看到白色北极熊会说什么?",北极熊!,兔子! (因为只学了「白色 = 兔子」),小狗!,大象!,B
"AI 犯错了怎么办?",把 AI 关掉,加更多更清楚的例子再训练,生气,告诉妈妈,B
"AI 学习像你在学校 — 哪里像?",都需要好的学习材料 + 多练习,都需要午餐,都需要老师骂,都需要电池,A
"机器学习「六步」第一步是什么?",做判断,收集例子,测试,贴标签,B
"是谁改进了造纸术?",蔡伦 (中国古代),爱迪生 (美国),贝尔 (美国),毕昇 (中国),A
"在纸出现之前, 古人写字用什么?",iPad,石头/竹简/丝绸,塑料板,纸巾,B
"为什么说「科技 = 解决问题」?",科技是为了让人开心,科技是为了帮人解决真实的问题,科技是为了赚钱,科技是为了好看,B
"有了纸 + 印刷之后会发生什么?",书变少,知识传得快, 更多人学习,只有国王能看书,世界变小,B
"过去和现在 — 古代用算盘, 现在用什么?",还是算盘,计算器/电脑,扫帚,水桶,B
