火星 是 什么 颜色 的?,红色,蓝色,绿色,黄色
火星 上 有 没有 可以 呼吸 的 空气?,没有,有,只 白天 有,只 晚上 有
火星 上 大概 是 多 冷?,零下 63 度,30 度,0 度,100 度
月球 上 有 没有 空气?,没有,有,只 白天 有,一 点 点
月球 上 有 没有 水?,没有,有,只 在 山 里 有,有 大海
木星 上 那 个 巨大 的 红色 风暴 叫 什么?,大红斑,小红点,红 月亮,火 山
土星 外面 围 着 一 圈 一 圈 的 是 什么?,光环,云 朵,海 浪,高 山
土星 的 行星 环 主要 是 什么 组成?,尘埃 + 碎石 + 冰块,水 + 鱼,树 + 草,火 + 烟
如果 有 一 个 大 浴缸 — 土星 会 怎样?,浮 起来 (比 水 还 轻),沉 下去,变 成 冰,烧 起来
天王星 看 起来 是 什么 颜色?,蓝色,红色,黄色,黑色
为什么 天王星 是 蓝色 的?,大气 里 有 甲烷,上面 都 是 海洋,反 射 月亮 的 光,被 染 蓝 了
海王星 是 太阳系 第 几 颗 行星?,第 八 颗,第 一 颗,第 四 颗,第 七 颗
海王星 在 太阳系 里 离 太阳?,非常 远,非常 近,中 等,最 近
宇航员 在 太空 中 的 「家」 叫 什么?,太空站,学校,火箭,月球
上 太空 前 宇航员 要 做 什么?,严格 训练,看 电视,睡 觉,吃 大餐
宇航员 在 太空 吃 什么?,压缩 袋装 食物,用 碗 和 筷子,去 餐厅 点 餐,自己 种 菜
宇航员 在 太空 怎么 洗脸?,把 袋 里 的 水 挤 出来,跳 进 池子,用 河 水,不 用 洗
宇航员 用 什么 飞 到 太空?,火箭,飞机,火车,高铁
宇航员 在 太空站 主要 做 什么 工作?,做 实验,看 电视,玩 游戏,钓 鱼
上 月球 一 定 要 带 什么?,氧气 罐,雨 伞,雪糕,字典
太空站 就 像 太空 中 的 什么?,一 个 「家」,一 颗 行星,一 颗 流星,一 朵 云
谁 写 信 给 地球 小朋友?,Zorp 火星 人,太阳,月亮,老师
Zorp 想 让 地球 小朋友 做 什么?,保护 地球,离开 地球,帮 他 写 作业,送 他 礼物
「外星人 长 什么 样」 是 我们 的 什么?,猜想,事实,历史,科学 证明
「火箭」 这 个 词 语 怎么 读?,huǒ jiàn,huó jiàn,huò jiàn,huǒ jiān
「太空站」 这 个 词 语 怎么 读?,tài kōng zhàn,tāi kōng zhàn,tài kòng zhàn,tài kōng zhān
「外星人」 这 个 词 语 怎么 读?,wài xīng rén,wǎi xīng rén,wài xīn rén,wéi xīng rén
「生命」 这 个 词 语 怎么 读?,shēng mìng,shèng mìng,shěng mìng,shēn mìng
「猜想」 这 个 词 语 怎么 读?,cāi xiǎng,cái xiǎng,cǎi xiǎng,cài xiǎng
